Community,2013,2014,2015,2016,2017
HIGHLAND PARK                           ,"3,706","3,965","4,139","4,014","3,998"
HIGHWOOD                                ,"2,214","2,229","2,314","2,329","2,233"
HILLHURST                               ,"6,357","6,497","6,737","6,737","6,648"
HORIZON                                 ,33,69,45,42,27
HOUNSFIELD HEIGHTS/BRIAR HILL           ,"3,007","2,921","2,972","2,972","3,016"
HUNTINGTON HILLS                        ,"13,566","13,536","13,781","13,497","13,154"
INGLEWOOD                               ,"3,618","3,647","3,935","3,865","4,008"
KELVIN GROVE                            ,"2,411","2,385","2,234","2,361","2,311"
KILLARNEY/GLENGARRY                     ,"6,870","7,231","7,677","7,463","7,423"
KINCORA                                 ,"5,088","5,398","5,974","6,166","6,363"
KINGSLAND                               ,"4,568","4,812","4,733","4,699","4,667"
LAKE BONAVISTA                          ,"10,537","10,502","10,529","10,478","10,419"
LAKEVIEW                                ,"5,417","5,476","5,451","5,457","5,535"
LEGACY                                  ,0,351,"1,303","2,359","3,919"
LINCOLN PARK                            ,"2,561","2,623","2,726","2,689","2,441"
LIVINGSTON,,,0,0,0
MACEWAN                                 ,"5,088","5,053","5,029","4,932","4,930"
MAHOGANY                                ,"1,913","2,660","4,960","7,000","8,444"
MANCHESTER                              ,640,"1,332","1,055","1,013","1,052"
MANCHESTER INDUSTRIAL                   ,0,0,0,0,0
MAPLE RIDGE                             ,"1,921","1,936","1,938","1,953","1,937"
MARLBOROUGH                             ,"8,634","8,989","9,080","8,784","9,226"
MARLBOROUGH PARK                        ,"8,393","8,741","8,878","8,711","8,673"
MARTINDALE                              ,"14,084","14,761","15,055","14,877","14,708"
MAYFAIR                                 ,485,473,478,450,431
MAYLAND                                 ,0,0,0,0,0
MAYLAND HEIGHTS                         ,"5,920","6,357","6,157","5,919","5,808"
MCKENZIE LAKE                           ,"14,162","14,189","14,008","13,709","13,616"
MCKENZIE TOWNE                          ,"17,059","17,737","18,029","18,124","18,106"
MEADOWLARK PARK                         ,624,632,651,659,665
MIDNAPORE                               ,"6,962","6,956","7,183","7,099","7,320"
MILLRISE                                ,"6,915","7,052","7,041","6,886","6,990"
MISSION                                 ,"4,293","4,350","4,494","4,430","4,583"
MONTEREY PARK                           ,"10,592","10,703","10,835","10,671","10,670"
MONTGOMERY                              ,"3,958","4,104","4,246","4,358","4,353"
MOUNT PLEASANT                          ,"4,872","5,442","5,617","5,665","5,811"
MOUNT ROYAL LOWER                       ,"3,263","3,319","3,480","3,365","3,239"
NEW BRIGHTON,"9,628","10,628","11,229","12,060","12,548"
NOLAN HILL                              ,147,550,"1,723","3,756","5,312"
NORTH AIRWAYS                           ,0,0,15,0,0
NORTH GLENMORE PARK                     ,"2,333","2,380","2,386","2,398","2,396"
NORTH HAVEN                             ,"2,367","2,434","2,473","2,440","2,376"
NORTH HAVEN UPPER                       ,627,637,624,620,620
OAKRIDGE                                ,"5,660","5,650","5,759","5,734","5,667"
OGDEN                                   ,"8,826","8,918","8,847","8,714","8,558"
PALLISER                                ,"3,390","3,437","3,516","3,490","3,484"
PANORAMA HILLS                          ,"23,605","25,130","25,993","25,729","25,925"
PARKDALE                                ,"2,301","2,341","2,393","2,412","2,565"
PARKHILL                                ,"1,600","1,605","1,686","1,697","1,690"
PARKLAND                                ,"3,782","3,769","3,780","3,677","3,685"
PATTERSON                               ,"4,269","4,350","4,308","4,258","4,128"
PEGASUS                                 ,0,0,0,0,0
PENBROOKE MEADOWS                       ,"8,139","8,760","8,864","8,594","8,324"
PINERIDGE                               ,"9,866","10,122","10,212","9,939","9,741"
POINT MCKAY                             ,"1,330","1,348","1,334","1,364","1,354"
PUMP HILL                               ,"1,681","1,666","1,705","1,671","1,649"
QUEENSLAND                              ,"4,863","4,984","4,956","4,823","4,787"
QUEENS PARK VILLAGE                     ,460,478,486,465,430
RAMSAY                                  ,"2,074","2,157","2,201","2,116","2,110"
RANCHLANDS                              ,"7,775","7,926","7,873","7,731","7,629"
RED CARPET                              ,"1,583","1,705","1,668","1,727","1,605"
REDSTONE                                ,174,824,"1,944","2,374","3,392"
RENFREW                                 ,"5,936","6,045","6,550","6,436","6,397"
RICHMOND                                ,"4,361","4,551","4,663","4,705","4,781"
RIDEAU PARK                             ,648,498,623,616,597
RIVERBEND                               ,"9,682","9,696","9,612","9,430","9,338"
ROCKY RIDGE                             ,"7,857","8,182","8,229","8,268","8,381"
ROSEDALE                                ,"1,514","1,579","1,653","1,490","1,536"
ROSEMONT                                ,"1,268","1,241","1,276","1,240","1,234"
ROSSCARROCK                             ,"3,297","3,408","3,447","3,639","3,527"
ROXBORO                                 ,405,243,402,391,390
ROYAL OAK                               ,"10,969","11,650","11,749","11,705","11,682"
RUNDLE                                  ,"11,481","11,542","11,946","11,733","11,558"
RUTLAND PARK                            ,"2,224","2,276","2,344","2,328","2,370"
SADDLE RIDGE                            ,"15,221","17,775","18,994","19,256","19,911"
SADDLE RIDGE INDUSTRIAL                 ,32,62,17,0,20
SAGE HILL                               ,"2,967","3,900","4,578","5,493","6,083"
SANDSTONE VALLEY                        ,"6,212","6,190","6,103","6,033","5,965"
SCARBORO                                ,894,919,917,909,915
SCARBORO/SUNALTA WEST                   ,407,410,390,385,406
SCENIC ACRES                            ,"8,579","8,595","8,542","8,399","8,251"
SECTION 23                              ,0,0,0,0,0
SETON                                   ,,0,0,349,350
SHAGANAPPI                              ,"1,520","1,530","1,603","1,560","1,693"
SHAWNEE SLOPES                          ,"1,586","1,580","1,597","1,573","1,625"
SHAWNESSY                               ,"9,475","9,602","9,546","9,411","9,448"
SHEPARD INDUSTRIAL                      ,258,262,263,273,248
SHERWOOD                                ,"3,111","3,778","4,200","4,896","5,312"
SIGNAL HILL                             ,"13,878","13,763","13,613","13,616","13,533"
SILVERADO                               ,"5,929","6,305","6,827","6,763","6,907"
SILVER SPRINGS                          ,"8,926","8,900","8,959","8,875","8,774"
SKYVIEW RANCH                           ,"4,509","6,278","7,333","8,578","10,043"
SOMERSET                                ,"8,523","8,751","8,717","8,596","8,546"
SOUTH AIRWAYS                           ,0,0,0,0,0
SOUTH CALGARY                           ,"3,644","3,959","3,954","4,118","4,038"
SOUTH FOOTHILLS                         ,0,0,0,0,0
SOUTHVIEW                               ,"1,933","1,815","1,874","1,845","1,841"
SOUTHWOOD                               ,"6,291","6,357","6,420","6,282","6,214"
SPRINGBANK HILL                         ,"9,186","9,640","9,874","9,995","9,985"
SPRUCE CLIFF                            ,"4,157","4,488","4,677","4,583","4,562"
ST. ANDREWS HEIGHTS                     ,"1,602","1,688","1,763","1,729","1,717"
STARFIELD                               ,0,0,0,0,0
STONEY 1                                ,0,17,0,0,13
STONEY 2                                ,0,0,0,15,26
STONEY 4                                ,0,0,0,0,0
